state,population,perYear
Alabama,"4,863,300",4.021046523051335
Alaska,"741,894",7.7878750573232525
Arizona,"6,931,071",6.219978284901584
Arkansas,"2,988,248",3.4208078520331053
California,"39,250,017",4.234959241475544
Colorado,"5,540,545",5.294304681819809
Connecticut,"3,576,452",0.8698875620618174
Delaware,"952,065",2.800929208264842
District of Columbia,"681,170",6.524721353618692
Florida,"20,612,439",2.9108636779956023
Georgia,"10,310,371",2.715712169814258
Hawaii,"1,428,557",3.111142533650701
Idaho,"1,683,140",3.96085094921793
Illinois,"12,801,539",1.9094926355686175
Indiana,"6,633,053",2.546171256115229
Iowa,"3,134,693",1.417824470991081
Kansas,"2,907,289",3.210321826737326
Kentucky,"4,436,974",4.307239824058268
Louisiana,"4,681,666",4.8415813231158875
Maine,"1,331,479",3.004178060637832
Maryland,"6,016,447",2.6593768714325914
Massachusetts,"6,811,779",1.370175593385125
Michigan,"9,928,300",1.4772586109068688
Minnesota,"5,519,952",2.3349639433257554
Mississippi,"2,988,726",2.825432791244311
Missouri,"6,093,000",3.9389463318562283
Montana,"1,042,520",3.8368568468710436
Nebraska,"1,907,116",3.495679689471782
Nevada,"2,940,058",5.4420695101933365
New Hampshire,"1,334,795",1.664841584080119
New Jersey,"8,944,469",1.5900577465495405
New Mexico,"2,081,015",9.397123786015745
New York,"19,745,289",0.9228642954895329
North Carolina,"10,146,788",2.9346999048149796
North Dakota,"757,952",1.7591263474907821
Ohio,"11,614,373",2.4873395136258227
Oklahoma,"3,923,561",7.5894774613617
Oregon,"4,093,465",3.474372499147354
Pennsylvania,"12,784,227",1.5644277905891377
Rhode Island,"1,056,426",0.8414114087393617
South Carolina,"4,961,119",3.493835429735375
South Dakota,"865,454",3.5947735074436205
Tennessee,"6,651,194",3.474731170239676
Texas,"27,862,596",3.222161272330036
Utah,"3,051,217",3.058888742863367
Vermont,"624,594",2.134720047476174
Virginia,"8,411,808",2.007759674125811
Washington,"7,288,000",3.0491523356506893
West Virginia,"1,831,102",6.067991357723988
Wisconsin,"5,778,708",2.61496360624401
Wyoming,"585,501",6.072672045915473
